-9.79052;9.91354;332.603;5.47757;-4.93956;0.959301;
-5.10912;-9.08668;76.4139;3.72022;6.81892;0.727503;
-3.01955;-6.30433;30.5058;1.03452;2.07715;0.259162;
-6.72366;-9.01211;101.223;3.53002;4.91214;0.786592;
7.80718;2.29502;73.3506;-1.34842;-0.0591209;0.680087;
1.46447;3.01976;49.5638;-0.105635;-0.00611023;0.660224;
-0.827293;0.815341;31.1811;0.445243;-0.0266189;0.907122;
3.82331;-0.735651;13.9804;-2.24706;0.958818;0.221184;
4.58335;5.25943;92.4108;-1.14454;-1.23139;0.922249;
-8.0404;4.0039;164.872;3.69961;-1.51564;0.878615;
2.68652;5.86719;97.8328;-1.35864;-3.24488;0.791459;
-5.54663;5.14508;140.584;1.63762;-1.11907;0.464419;
5.94735;0.167296;32.9479;0.114776;0.286639;0.326291;
-5.12275;2.52942;93.3669;0.784865;-0.00623707;0.519471;
-8.07868;7.24125;227.946;4.52954;-3.21886;0.785216;
2.10311;-4.74442;0.564792;-0.103567;0.772183;0.38188;
5.9497;1.29507;43.6379;-1.99945;-2.8149;0.994455;
6.4354;-8.95178;44.1929;-1.88453;2.47811;0.220366;
-3.77651;-6.99477;42.3368;1.1815;0.886931;0.918087;
0.230292;3.31503;56.6415;0.586454;-1.94892;0.642342;
9.2877;4.56337;126.442;-4.84675;-5.50333;0.0744759;
0.174856;2.35883;43.7659;0.0946437;-0.0293385;0.263482;
-4.00613;6.96521;156.31;3.65608;-6.10995;0.816782;
2.80927;-5.96429;4.51335;-0.39097;1.29353;0.527395;
-6.64427;-0.340165;88.1178;2.52168;-1.00564;0.318941;
-5.66766;0.859442;82.4071;4.69409;-2.77482;0.0707376;
-7.56227;7.09598;214.558;3.09444;-3.37889;0.722946;
1.20702;1.39271;29.7102;0.48857;-2.29387;0.475027;
-9.00684;9.36903;299.881;1.96793;-1.94778;0.58611;
1.31164;9.76903;190.06;0.0644639;-0.281115;0.426694;
-2.54226;8.93723;188.004;0.886587;-1.63867;0.81721;
-4.17468;-2.0152;42.0661;4.39571;-1.11027;0.864349;
3.47172;-2.07039;5.88935;0.00968361;-0.081715;0.912216;
-2.56106;9.35346;199.118;1.25595;-3.13866;0.365904;
-8.57038;2.79333;157.882;4.07534;-2.3973;0.497021;
2.09273;-2.55071;2.10904;-0.0258634;-0.393955;0.193489;
7.35866;6.46019;138.131;-0.693527;-1.4684;0.360501;
-7.15215;-0.43213;96.4916;1.76116;-0.394257;0.402231;
-4.24211;9.7242;227.318;2.96417;-5.87706;0.825486;
5.7392;7.21254;139.703;-0.648834;-2.20028;0.224685;
-4.31295;4.97398;120.386;3.06026;-3.49006;0.959301;
-1.38889;-2.26776;14.4853;3.25026;0.972121;0.727503;
-1.98503;-4.22718;15.9321;0.618924;0.642887;0.259162;
-3.19364;-4.09997;26.9839;2.59406;1.5114;0.786592;
6.45875;2.2359;58.767;-0.561031;-0.235622;0.680087;
1.35884;3.01365;49.6024;0.43924;-4.43995;0.660224;
-0.38205;0.788722;28.606;1.7103;-3.15997;0.907122;
1.57625;0.223167;18.0147;1.01669;-3.22658;0.221184;
3.4388;4.02804;66.5196;-0.868238;-3.28699;0.922249;
-4.34079;2.48826;82.3032;1.11932;-0.464306;0.878615;
1.32788;2.62231;44.3068;-0.174791;-3.25918;0.791459;
-3.90901;4.02601;99.3332;4.38386;-5.605;0.464419;
6.06213;0.453935;36.3384;-0.0269494;0.00139779;0.326291;
-4.33789;2.52318;82.7207;1.62557;-1.42663;0.519471;
-3.54914;4.02239;95.1518;2.96876;-3.28523;0.785216;
1.99954;-3.97224;0.000771011;-0.0310701;0.231655;0.38188;
